Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-43.90876	-57.73949	13.83073	0.184687	0.00871153	0.118625	0.103856	0.0578621	0.0287082	0.0264851	0.050155	0.0047546	0.0210773	0.243061	0.00339566	0.202272	0.147288	0.243514	0.0192587	0.499107	0.143721	0.300838	0.0781799	0.0238056	3.17266	0.275781	1.531921	0.4680789	0.0941422	0.315873	0.698002	1.43266	3.16583	10.6222	1.708575	0.3055502	3.834747	0.0735991	0.00347161	0.0472731	0.0413876	0.0230585	0.0114404	0.0105545	0.0199871	0.00189474	0.00839946	0.0968615	0.00135319	0.0806071	0.0586953	0.0970422	0.00767475	0.198898	0.0572737	0.119886	0.0311553	0.00948672	0.234039	0.765961	2.509363
36	-28.8823	-48.39264	19.51034	0.166592	0.00184146	0.0302957	0.107373	0.201687	0.0222638	0.0203922	0.00424125	0.0414864	0.0347984	0.0755204	0.0209661	0.0801181	0.0819094	0.0154501	0.0895141	0.282062	0.182145	0.389528	0.0283842	0.0259516	0.172111	1.27596	1.467926	0.5320743	0.650366	0.810731	0.936637	1.06765	1.23346	1.5376	0.3110787	0.3624668	0.04496226	0.0875638	0.000967906	0.015924	0.0564371	0.106011	0.0117022	0.0107185	0.00222928	0.021806	0.0182907	0.0396949	0.0110202	0.0421116	0.0430531	0.00812087	0.0470503	0.148257	0.0957387	0.204743	0.0149193	0.0136406	0.266037	0.733963	1.90252
72	-30.50321	-48.01805	17.51483	0.0356237	0.116812	0.186288	0.0410887	0.0629354	0.0367108	0.00201544	0.0848972	0.101733	0.00272304	0.0370204	0.260492	0.0613705	0.0878687	0.15363	0.213453	0.295079	0.0753617	0.10191	0.166412	0.121038	1.42586	0.858048	1.37201	0.6279895	0.702811	0.841982	0.947755	1.05513	1.18767	1.42286	0.2550022	0.4577148	0.5539149	0.0158718	0.0520443	0.082999	0.0183067	0.0280403	0.0163562	0.000897961	0.0378252	0.0453263	0.00121323	0.0164941	0.11606	0.0273431	0.0391491	0.0684483	0.0951022	0.13147	0.0335767	0.0454049	0.0741434	0.0539274	0.313995	0.686005	2.244462
108	-34.41152	-50.27081	15.85929	0.0196635	0.0705509	0.02311	0.0158534	0.0151726	0.00158433	0.000542181	0.0110772	0.0032187	0.000344542	0.000925636	0.0181274	0.100809	0.0122327	0.0120993	0.0280963	0.0864113	0.00242514	0.0029112	0.00903488	0.0395544	2.60395	0.465349	1.023425	0.9765752	0.0613025	0.256242	0.653897	1.52929	3.90256	16.3126	2.018762	0.9542228	1.865231	0.0415064	0.148922	0.0487816	0.0334641	0.0320269	0.00334427	0.00114446	0.0233821	0.00679417	0.000727274	0.00195387	0.0382641	0.212792	0.0258212	0.0255396	0.0593068	0.182401	0.00511909	0.00614508	0.0190712	0.0834932	0.488288	0.511712	0.4737446
144	-30.9041	-45.70354	14.79944	0.242354	0.0574765	0.0391148	0.0781178	0.0509145	0.00891454	0.0167653	0.0365762	0.0122501	0.0709998	0.0926505	0.053901	0.151094	0.176118	0.0314968	0.167222	0.134452	0.0127939	0.00893787	0.29941	0.111832	2.89636	0.36788	0.7479447	1.252055	0.390886	0.632473	0.86682	1.15364	1.5811	2.55829	0.6792064	1.673994	2.624371	0.130762	0.0310115	0.0211045	0.0421486	0.027471	0.00480985	0.00904575	0.0197348	0.00660954	0.038308	0.0499897	0.0290823	0.0815231	0.0950246	0.0169942	0.0902249	0.0725436	0.00690296	0.00482244	0.161547	0.0603392	0.626028	0.373972	1.853391
180	-32.66858	-48.33769	15.66911	0.174365	0.0568055	5.00592e-05	0.0981262	0.0290241	0.00213403	0.0433838	0.0299435	0.0369169	0.0838369	0.0527457	0.0183367	0.0357245	0.0360831	0.0265039	0.488775	0.0733745	0.0107078	0.0652513	0.0258365	0.0231885	2.05049	0.649835	0.4836415	1.516359	0.382826	0.626078	0.864076	1.15731	1.59724	2.61215	0.6942727	3.135295	1.051801	0.123566	0.0402558	3.5475e-05	0.0695381	0.0205682	0.0015123	0.0307444	0.0212198	0.0261615	0.0594119	0.0373788	0.0129945	0.0253165	0.0255706	0.0187823	0.346375	0.0519976	0.0075882	0.046241	0.0183093	0.0164328	0.758179	0.241821	1.411114
216	-38.17137	-52.15159	13.98022	0.345443	0.243521	0.00663616	0.0596728	0.0874418	0.107585	0.0785323	0.0435957	0.0856233	0.0720318	0.366738	0.00760903	0.0434144	0.0871945	0.0769549	0.356549	0.135067	0.119276	0.024029	0.0758875	0.0182645	2.64184	0.45272	0.4361536	1.563846	0.963764	0.982161	0.9944	1.00563	1.01816	1.0376	0.02668751	3.585541	1.945163	0.141513	0.0997601	0.00271855	0.0244454	0.0358211	0.044073	0.0321713	0.0178593	0.0350762	0.0295083	0.150237	0.00311709	0.017785	0.0357198	0.0315251	0.146063	0.0553313	0.0488622	0.00984364	0.0310878	0.00748219	0.781923	0.218077	2.441068
252	-33.83246	-47.91606	14.08361	0.0299695	0.0673706	0.0022289	0.0497174	0.0880262	0.0550511	0.0578057	0.135746	0.0110187	0.0212191	0.0691383	0.0735816	0.0165762	0.0685997	0.102667	0.0643582	0.0140827	0.0298804	0.00521242	0.134089	0.01759	3.6224	0.125868	1.284681	0.7153192	0.103934	0.33149	0.708591	1.41125	3.01668	9.62147	1.637026	0.5568069	9.593144	0.0269043	0.0604802	0.00200093	0.0446325	0.0790231	0.0494206	0.0518935	0.121863	0.00989175	0.0190489	0.062067	0.0660559	0.0148808	0.0615836	0.0921666	0.0577758	0.0126424	0.0268243	0.00467931	0.120375	0.015791	0.35766	0.64234	1.113929
288	-35.351	-49.80555	14.45456	0.0768629	0.20577	0.0312676	0.0690138	0.152632	0.014735	0.0610644	0.0243269	0.033818	0.024866	0.138412	0.0873136	0.0129887	0.1371	0.123999	0.2907	0.121484	0.0025607	0.0677574	0.0575734	0.0426703	3.37414	0.208618	0.9510803	1.04892	0.420853	0.655673	0.876617	1.14075	1.52515	2.37612	0.6257951	1.102872	5.391252	0.0432563	0.115802	0.0175966	0.0388391	0.0858973	0.00829245	0.0343654	0.0136905	0.0190319	0.0139939	0.0778945	0.0491377	0.00730969	0.0771561	0.0697832	0.163598	0.068368	0.00144109	0.038132	0.0324008	0.0240137	0.52446	0.47554	1.776916
324	-31.32929	-49.02772	17.69844	0.00532955	0.0681202	0.0207144	0.00358196	0.00328685	0.00548496	0.00726997	0.0356778	0.0291468	0.00313575	0.00524877	0.0132691	0.0139405	0.00604337	0.0130363	0.010522	0.0197796	0.00185452	0.0134589	0.00495281	0.00115799	1.75148	0.749507	1.440613	0.5593873	0.0888441	0.307074	0.691878	1.44534	3.25654	11.2557	1.750457	0.3882982	0.7789466	0.0186994	0.239008	0.072679	0.0125678	0.0115323	0.0192446	0.0255076	0.12518	0.102265	0.0110021	0.018416	0.0465562	0.0489118	0.0212039	0.0457393	0.0369178	0.0693993	0.00650682	0.0472223	0.0173775	0.00406295	0.279694	0.720306	0.2850122
360	-40.99012	-59.68268	18.69255	0.141307	0.029063	0.00629014	0.0602031	0.024486	0.0291935	0.00285607	0.0239921	0.105027	0.16084	0.0131248	0.0249063	0.0304327	0.058435	0.00449068	0.0642688	0.0394632	0.0177812	0.191677	0.0363901	0.00245424	1.91646	0.694515	1.779266	0.220734	0.230242	0.488581	0.799749	1.25039	2.04675	4.34325	1.061915	0.124059	0.9198051	0.132474	0.0272461	0.00589692	0.0564396	0.0229553	0.0273685	0.00267753	0.0224922	0.098461	0.150785	0.0123044	0.0233494	0.0285303	0.054782	0.00420995	0.0602512	0.0369962	0.0166697	0.179695	0.0341152	0.00230082	0.110367	0.889633	1.066682
396	-39.89505	-54.81282	14.91778	0.0593419	0.0593251	0.0341752	0.0140164	0.00248439	0.0155487	0.0499634	0.0415337	0.00897647	0.00143265	0.0431726	0.0431334	0.0106543	0.010085	0.00418317	0.0564511	0.0576963	0.018745	0.0354833	0.00504885	0.000655261	3.63339	0.122205	1.367128	0.6328716	0.160585	0.409846	0.757085	1.32086	2.43994	6.22722	1.322443	0.4629204	9.910669	0.103725	0.103696	0.0597357	0.0244997	0.00434253	0.027178	0.0873324	0.0725979	0.0156902	0.00250418	0.0754625	0.075394	0.0186229	0.0176278	0.00731187	0.0986725	0.100849	0.0327649	0.0620222	0.00882502	0.00114535	0.316436	0.683564	0.5721062
