Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	stationaryDist[1]	stationaryDist[2]	tree_length
432	-32.10788	-49.30915	17.20127	0.0890409	0.169728	0.0919837	0.113095	0.000716576	0.0570172	0.0197148	0.0120466	0.116951	0.148958	0.186743	0.0379877	0.0578749	0.0140515	0.0516303	0.337739	0.0551379	0.134407	0.121384	0.0579641	0.0245869	2.45591	0.514695	1.358325	0.6416754	0.960603	0.980588	0.993903	1.00613	1.0198	1.04101	0.0290633	0.4724021	1.59053	0.0468943	0.0893891	0.0484441	0.0595626	0.000377392	0.0300287	0.010383	0.00634444	0.0615933	0.0784501	0.0983503	0.0200066	0.0304804	0.00740035	0.0271916	0.177873	0.0290389	0.0707867	0.0639283	0.0305274	0.012949	0.320838	0.679162	1.898758
468	-32.77181	-50.45669	17.68488	0.0547397	0.120892	0.150187	0.0430749	0.0818594	0.00936419	0.0326042	0.0119509	0.00428003	0.0281456	0.0552171	0.0313535	0.0228216	0.0364284	0.0485427	0.0260945	0.00493739	0.0290941	0.0115735	0.0115139	0.0694377	1.47599	0.841335	0.8514255	1.148575	0.325442	0.578405	0.842987	1.18626	1.72889	3.07275	0.8116964	1.349002	0.5847828	0.0619148	0.136739	0.169873	0.048721	0.0925893	0.0105916	0.0368779	0.0135174	0.00484104	0.0318349	0.0624548	0.0354633	0.025813	0.0412033	0.0549056	0.029515	0.00558457	0.0329077	0.0130905	0.0130231	0.0785394	0.574287	0.425713	0.8841128
504	-29.08351	-49.20874	20.12523	0.073747	0.127936	0.00820939	0.00441427	0.0472289	0.00350805	0.0324794	0.0738564	0.00407433	0.00865282	0.0678957	0.0179931	0.00300289	0.0150391	0.0449404	0.15957	0.0028339	0.117033	0.0159469	0.00434904	0.0197222	1.49676	0.834412	1.845009	0.1549912	0.575522	0.763804	0.919374	1.0877	1.30924	1.73755	0.3994792	0.08400565	0.5979321	0.0865136	0.150084	0.00963055	0.00517844	0.0554048	0.00411534	0.038102	0.0866419	0.00477965	0.0101507	0.0796493	0.0211079	0.00352273	0.0176425	0.0527202	0.187193	0.00332448	0.137293	0.0187075	0.00510192	0.0231364	0.0774956	0.922504	0.8524327
540	-31.76056	-48.42051	16.65995	0.0583856	0.0124809	0.0293684	0.00976594	0.011593	0.0184168	0.00104606	0.026852	0.00123981	0.0112739	0.0198582	0.0101276	0.00132521	0.00934879	0.00660994	0.0209098	0.00309997	0.00272418	0.00126705	0.0053224	0.0138441	2.39591	0.534698	1.178647	0.821353	0.106354	0.335232	0.711077	1.40632	2.98301	9.40257	1.620385	0.6968608	1.493621	0.21242	0.0454084	0.106849	0.0355306	0.0421777	0.0670044	0.00380579	0.0976935	0.00451071	0.041017	0.0722486	0.0368465	0.0048214	0.0340129	0.0240484	0.0760744	0.0112784	0.00991116	0.00460981	0.019364	0.050368	0.410676	0.589324	0.2748598
576	-30.45611	-48.82205	18.36594	0.00582845	0.00537938	0.0142354	0.00762889	0.00948129	0.00531032	0.000598352	0.0196413	0.0211501	0.0386916	0.00731519	0.00474417	0.0172636	0.00424987	0.00492902	0.0204546	0.0098319	0.00047408	0.0270508	0.000165972	0.0116238	1.46037	0.846542	1.435128	0.5648722	0.176275	0.428909	0.7679	1.30225	2.3315	5.67296	1.255039	0.3936041	0.5750342	0.0246918	0.0227893	0.0603072	0.0323192	0.0401668	0.0224968	0.00253487	0.0832087	0.0896007	0.163914	0.0309903	0.0200983	0.0731359	0.0180043	0.0208814	0.0866543	0.0416521	0.00200841	0.114599	0.000703127	0.0492433	0.282436	0.717564	0.236048
612	-36.16634	-51.85538	15.68903	0.0123558	0.0212611	0.146825	0.0437972	0.05033	0.0659989	0.00817443	0.0162712	0.0214378	0.092324	0.249167	0.0303796	0.0103871	0.0890537	0.0398245	0.122388	0.102198	0.0203779	0.0586653	0.00913584	0.00419332	2.94626	0.351247	0.9203138	1.079686	0.268406	0.526527	0.818631	1.22155	1.89924	3.72569	0.9510184	1.173172	2.795997	0.0101732	0.0175054	0.120888	0.0360605	0.0414393	0.0543404	0.00673045	0.013397	0.0176509	0.0760152	0.205153	0.0250132	0.00855228	0.0733226	0.0327896	0.100769	0.0841453	0.0167782	0.0483023	0.00752202	0.00345258	0.539843	0.460157	1.214546
648	-34.31854	-48.81846	14.49992	0.0277079	0.166215	0.0380384	0.0767328	0.0535788	0.0717749	0.0220075	0.065328	0.0152227	0.00726059	0.0191666	0.0264567	0.0425685	0.0378483	0.200155	0.23935	0.0721689	0.0226946	0.129885	0.0548548	0.00217978	2.91852	0.360492	0.5682439	1.431756	0.218714	0.476492	0.793523	1.2602	2.09867	4.57219	1.099059	2.519615	2.698652	0.0199167	0.119476	0.0273422	0.055156	0.0385128	0.0515923	0.0158192	0.0469582	0.0109422	0.00521896	0.0137771	0.0190173	0.0305985	0.0272056	0.143873	0.172046	0.0518755	0.016313	0.0933625	0.03943	0.00156684	0.715878	0.284122	1.391194
684	-35.1468	-47.54497	12.39817	0.118432	0.664609	0.0386382	0.0376318	0.0129306	0.0228861	0.126032	0.113693	0.0521545	0.195818	0.128702	0.160709	0.237244	0.173528	0.294187	0.245724	0.018711	0.191523	0.415656	0.287027	0.177843	2.90868	0.363774	0.7747587	1.225241	0.87148	0.935111	0.979287	1.02115	1.06939	1.14747	0.09946715	1.581449	2.665275	0.0318906	0.178962	0.0104043	0.0101333	0.00348188	0.00616264	0.0339373	0.0306146	0.0140439	0.0527288	0.0346561	0.0432748	0.0638839	0.0467268	0.0792172	0.0661673	0.00503839	0.0515724	0.111926	0.077289	0.0478886	0.612621	0.387379	3.71368
720	-29.86185	-48.37764	18.51579	0.0063312	0.037247	0.00172489	0.00381517	0.0026269	0.00140266	0.000667005	0.00261446	0.0097906	0.0133506	0.00200324	0.0189414	0.00416924	0.0284644	0.00331733	0.041303	0.000301929	0.00983591	0.022255	0.0123203	0.0494139	1.02515	0.991618	1.461769	0.5382307	0.104382	0.332186	0.709055	1.41033	3.01036	9.5802	1.633918	0.3682049	0.3446035	0.0232854	0.13699	0.00634393	0.0140317	0.00966142	0.00515881	0.00245316	0.00961564	0.0360086	0.049102	0.00736767	0.069664	0.015334	0.104689	0.0122007	0.151907	0.00111046	0.0361752	0.0818511	0.0453124	0.181738	0.269115	0.730885	0.271896
756	-32.91513	-49.69727	16.78214	0.122099	0.077203	0.00880088	5.69946e-05	0.122366	0.0558727	0.0182596	0.0645877	0.0279985	0.00523386	0.152372	0.207885	0.109205	0.0934945	0.0139933	0.162719	0.00693353	0.00653721	0.118185	0.0442257	0.178111	1.81373	0.728756	1.32061	0.67939	0.128599	0.367767	0.731925	1.36626	2.71912	7.77614	1.483057	0.5144516	0.8296006	0.0764967	0.0483686	0.00551386	3.57078e-05	0.0766639	0.0350049	0.0114399	0.040465	0.0175414	0.00327908	0.0954627	0.130243	0.068418	0.0585754	0.00876694	0.101945	0.00434394	0.00409564	0.0740441	0.0277079	0.111589	0.339695	0.660305	1.596139
792	-25.41047	-45.47074	20.06027	0.174554	0.105753	0.0277116	0.00534482	0.170813	0.0406896	0.0312669	0.0399337	0.117365	0.104996	0.106626	0.0767756	0.100623	0.135951	0.242475	0.204817	0.01236	0.0202956	0.0624753	0.0124508	0.0510857	0.296927	1.23436	1.652473	0.3475274	0.941069	0.970812	0.990801	1.00928	1.03007	1.06262	0.04391828	0.2103075	0.08018389	0.0946418	0.0573386	0.015025	0.00289792	0.0926136	0.0220616	0.0169527	0.0216518	0.0636343	0.0569279	0.0578118	0.0416272	0.0545572	0.0737116	0.131468	0.11105	0.00670151	0.0110041	0.0338737	0.00675072	0.0276983	0.173764	0.826236	1.844361
828	-34.53873	-48.71777	14.17904	0.00308136	0.00544771	0.0211205	0.000799735	0.0117594	0.00303819	0.0130354	0.00762587	0.00374419	0.0286845	0.00494827	0.0231863	0.0139766	0.0172426	0.000486864	0.0149418	0.0180297	0.00648016	0.00953688	0.0213534	0.0125589	2.92891	0.357029	0.6418626	1.358137	0.050285	0.232642	0.634481	1.57609	4.29845	19.8866	2.162011	2.115932	2.734521	0.0127816	0.0225973	0.0876084	0.00331732	0.0487785	0.0126025	0.0540711	0.0316323	0.015531	0.118984	0.0205256	0.0961776	0.0579752	0.0715229	0.00201953	0.0619791	0.0747876	0.0268799	0.0395593	0.0885745	0.0520946	0.679069	0.320931	0.2410782
864	-39.85867	-55.39228	15.53361	0.0382682	0.0262252	0.0323365	4.48446e-05	0.00524397	0.0430388	0.0451307	0.0198566	0.0775132	0.0139101	0.00930076	0.042489	0.0572409	0.0129742	0.0483915	0.00648623	0.0455562	0.0045759	0.0436143	0.106475	0.0213589	2.64521	0.451595	0.9555451	1.044455	0.0553455	0.24378	0.643806	1.55326	4.10206	18.0683	2.092677	1.093046	1.952496	0.0546665	0.037463	0.046193	6.40609e-05	0.00749106	0.0614813	0.0644695	0.0283653	0.110728	0.0198708	0.0132862	0.0606959	0.0817691	0.0185338	0.0691277	0.00926564	0.0650775	0.00653672	0.0623034	0.1521	0.0305114	0.522227	0.477773	0.7000307
900	-29.24318	-49.25067	20.00749	0.0210242	0.00832427	0.0207147	0.00250991	0.0144284	0.00407983	0.0266503	0.0131686	0.0316296	0.00931612	0.0121657	0.0101505	0.0742811	0.00368766	0.0623342	0.0243311	0.0459146	0.00294238	0.0261709	0.0800875	0.0348655	0.81169	1.06277	1.659189	0.3408112	0.28821	0.545129	0.827547	1.20839	1.83443	3.46969	0.8995448	0.2054083	0.2545831	0.03976	0.0157425	0.0391748	0.00474664	0.0272863	0.00771559	0.0503999	0.0249038	0.0598164	0.0176182	0.0230073	0.0191962	0.140477	0.00697394	0.117884	0.0460139	0.0868317	0.0055645	0.0494933	0.151458	0.0659361	0.170406	0.829594	0.5287772
936	-33.29929	-49.68047	16.38118	0.0310458	0.0268735	0.00481806	0.0244329	0.0411387	0.0255402	0.000566299	0.0325286	0.0127213	0.0666879	0.0798503	0.0082515	0.0621748	0.0124897	0.0197102	0.0148019	0.211737	0.000352262	0.0274311	0.0967246	0.0194865	0.435683	1.18811	0.1371386	1.862861	0.9092	0.954637	0.985621	1.01459	1.04752	1.09987	0.06882897	13.58379	0.1222347	0.0378901	0.032798	0.00588024	0.0298194	0.0502081	0.0311708	0.000691145	0.0396998	0.0155259	0.0813899	0.0974541	0.0100706	0.0758819	0.0152431	0.0240555	0.0180651	0.258417	0.000429921	0.0334786	0.118048	0.0237825	0.931431	0.0685693	0.8193635
972	-29.28938	-42.49095	13.20157	0.0681225	0.131719	0.00111932	0.00680505	0.045091	0.00830306	0.00601089	0.0175538	0.0112769	0.0151929	0.0602762	0.00401686	0.133165	0.00424761	0.0895379	0.0441687	0.00425482	0.00896423	0.0173248	0.0431275	0.00285281	3.68726	0.104248	1.243888	0.7561116	0.0330865	0.189684	0.595331	1.67974	5.27193	30.2238	2.464673	0.6078612	11.79002	0.094205	0.182151	0.00154788	0.00941054	0.0623552	0.0114821	0.00831232	0.0242747	0.0155946	0.0210099	0.0833545	0.00555481	0.18415	0.00587392	0.12382	0.0610798	0.00588389	0.0123964	0.023958	0.05964	0.00394508	0.378056	0.621944	0.7231305
1008	-33.0034	-47.38134	14.37795	0.116968	0.105873	0.026708	0.0479949	0.246164	0.0130376	0.0186097	0.0361224	0.0322521	0.0189203	0.166593	0.00161119	0.120058	0.204252	0.0719944	0.0386302	0.0178753	0.000809576	0.0200742	0.0383443	0.00145783	3.16484	0.278385	0.9548484	1.045152	0.0850767	0.300653	0.687331	1.4549	3.32609	11.7541	1.781788	1.094573	3.789524	0.0870069	0.0787538	0.0198669	0.0357012	0.18311	0.00969805	0.0138429	0.0268698	0.0239908	0.014074	0.123921	0.00119849	0.0893059	0.151934	0.0535534	0.0287352	0.0132966	0.000602207	0.0149323	0.0285226	0.00108441	0.522576	0.477424	1.344349
1044	-34.78567	-51.67797	16.89229	0.102085	0.0565935	0.0277704	0.0354544	0.0505844	0.0103356	0.0028892	0.0157411	0.00281213	0.0317419	0.0214373	0.0033737	0.0073539	0.0143916	0.0708503	0.00409133	0.0161133	0.0134238	0.099492	0.0374622	0.0175116	0.943582	1.01881	0.440704	1.559296	0.213	0.47038	0.790333	1.26529	2.12594	4.69484	1.118201	3.538193	0.3087216	0.159132	0.0882195	0.0432892	0.0552672	0.0788522	0.0161114	0.00450376	0.0245376	0.00438363	0.0494802	0.0334171	0.00525901	0.0114634	0.022434	0.110443	0.00637767	0.0251178	0.0209254	0.155091	0.058397	0.0272975	0.779648	0.220352	0.6415084
1080	-37.23941	-52.15158	14.91217	0.0274812	0.081907	0.00850283	0.0593365	0.00131737	0.0117333	0.0157122	0.00900305	0.00161812	0.0572779	0.000750693	0.00817009	0.0334519	8.90045e-05	0.00693901	0.00363381	0.0245199	0.0330976	0.0101125	0.0135335	0.0289451	2.97083	0.343058	0.6174984	1.382502	0.126261	0.36449	0.729885	1.37008	2.74356	7.92012	1.496324	2.238875	2.886616	0.0628671	0.187373	0.0194514	0.13574	0.00301367	0.0268414	0.0359438	0.0205957	0.00370166	0.131031	0.00171731	0.0186902	0.0765258	0.00020361	0.0158739	0.00831283	0.0560926	0.0757152	0.0231336	0.0309597	0.0662158	0.691251	0.308749	0.4371325
1116	-34.53722	-49.37693	14.83971	0.0282359	0.1095	0.0753534	0.140051	0.00248723	0.0268089	0.127422	0.0519314	0.00868009	0.0206428	0.00787844	0.0636063	0.152942	0.00490144	0.0413114	0.139834	0.0253097	0.113187	0.0454878	0.0565627	0.236457	2.36618	0.544605	0.4839278	1.516072	0.218504	0.476269	0.793407	1.26039	2.09965	4.57657	1.099752	3.132848	1.448257	0.0190965	0.0740567	0.050963	0.0947196	0.00168216	0.0181314	0.0861779	0.0351222	0.00587051	0.0139611	0.00532835	0.0430182	0.103438	0.00331494	0.0279397	0.0945727	0.0171175	0.0765508	0.0307643	0.0382544	0.159921	0.758036	0.241964	1.478591
1152	-34.41039	-50.12115	15.71076	0.0283979	0.304104	0.015162	0.119358	0.0747932	0.0613088	0.0322174	0.0314572	0.0081976	0.0102145	0.0717609	0.109229	0.0473627	0.00855172	0.0219301	0.121036	0.0513706	0.0860801	0.0231245	0.055846	0.0952726	2.44602	0.517995	0.5850217	1.414978	0.440167	0.67018	0.882622	1.13299	1.49214	2.27187	0.5933516	2.418676	1.57403	0.0206264	0.220882	0.0110127	0.0866937	0.0543249	0.0445308	0.0234006	0.0228485	0.00595421	0.00741916	0.0521225	0.0793368	0.0344011	0.00621142	0.0159286	0.087913	0.0373123	0.062523	0.0167961	0.0405629	0.0691998	0.707489	0.292511	1.376775
1188	-30.46304	-46.16411	15.70107	0.0233603	0.0592588	0.0184077	0.00976476	0.106279	0.0195578	0.007068	0.0674733	0.00422977	0.0124882	0.138041	0.0107266	0.00353981	0.000143557	0.183325	0.0214188	0.00806211	0.0510355	0.0493468	0.0840975	0.198689	3.00251	0.332497	0.8664294	1.133571	0.293527	0.55001	0.829851	1.20503	1.81815	3.40684	0.8863281	1.308324	3.010061	0.021704	0.0550573	0.0171025	0.00907242	0.0987433	0.0181711	0.00656687	0.0626893	0.00392987	0.0116028	0.128253	0.00996604	0.00328883	0.000133378	0.170327	0.0199001	0.00749049	0.047417	0.045848	0.0781348	0.184602	0.566785	0.433215	1.076313
1224	-27.51745	-45.29333	17.77587	0.0309347	0.06171	0.00365874	0.00320994	0.0275487	0.0838317	0.00737421	0.00578121	0.041078	0.00958182	0.0457817	0.0489192	0.00343348	0.0224062	0.0423594	0.0181477	0.0205738	0.00833075	0.0430802	0.00272832	0.11276	1.59596	0.801347	1.166414	0.8335861	0.143266	0.387658	0.744052	1.34399	2.5796	6.98004	1.404963	0.7146572	0.663865	0.0480928	0.0959377	0.00568808	0.00499035	0.0428287	0.130329	0.0114643	0.00898778	0.063862	0.0148964	0.0711747	0.0760524	0.00533788	0.0348339	0.0658543	0.0282134	0.0319851	0.0129514	0.0669748	0.00424159	0.175303	0.416793	0.583207	0.6432301
1260	-27.04214	-45.62653	18.58439	0.075327	0.109017	0.0180492	0.00406277	0.0573839	0.0483602	0.00332354	0.0401616	0.0161563	0.0247523	0.0813741	0.000660885	0.0115148	0.0595591	0.02572	0.0344689	0.00412889	0.0114738	0.0169343	0.0185332	0.0150998	1.54907	0.816976	1.309658	0.6903422	0.291394	0.548057	0.828931	1.20637	1.82463	3.43178	0.8916018	0.5271165	0.6320358	0.11142	0.161252	0.0266976	0.00600947	0.0848798	0.0715323	0.00491604	0.0594053	0.0238976	0.0366126	0.120365	0.000977552	0.0170322	0.0880973	0.038044	0.0509849	0.00610727	0.0169716	0.0250485	0.0274134	0.0223349	0.345171	0.654829	0.676061
1296	-29.85562	-46.6023	16.74668	0.0677453	0.154239	0.00439907	0.024277	0.0520591	0.0282022	0.0491592	0.197962	0.0213502	0.0229662	0.217878	0.0313441	0.0367807	0.02317	0.160298	0.0932053	0.0166732	0.0310511	0.00329196	0.204487	0.0984535	2.45895	0.513683	1.040927	0.9590727	0.58234	0.768203	0.921023	1.08575	1.30174	1.71721	0.3909633	0.9213638	1.595636	0.0440193	0.100221	0.00285841	0.0157746	0.0338268	0.0183251	0.0319425	0.128631	0.0138728	0.0149229	0.141572	0.0203666	0.0238992	0.0150553	0.104158	0.0605626	0.0108339	0.0201762	0.00213904	0.132871	0.0639727	0.479536	0.520464	1.538992
