Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	stationaryDist[1]	stationaryDist[2]	tree_length
360	-32.40757	-49.80042	17.39285	0.232187	0.168762	0.0526481	0.0012023	0.0403469	0.111691	0.0412877	0.0538248	0.028772	0.0342685	0.176308	0.0160672	0.0266946	0.00693844	0.259036	0.0928504	0.0330849	0.0430276	0.0129667	0.0702949	0.0163378	1.94911	0.683628	0.9294676	1.070532	0.879885	0.939499	0.980718	1.01966	1.0644	1.13651	0.09252665	1.15177	0.9503773	0.152896	0.11113	0.0346689	0.000791718	0.0265686	0.0735487	0.0271881	0.0354438	0.0189465	0.0225659	0.116099	0.0105803	0.0175785	0.00456898	0.170576	0.0611422	0.0217865	0.0283338	0.00853859	0.0462894	0.0107585	0.535266	0.464734	1.518596
396	-32.17411	-48.78605	16.61194	9.0396e-05	0.0365641	0.0236184	0.0324992	0.00169935	0.0376668	0.00255634	0.0157141	0.0283293	0.00869214	0.0724411	0.0135817	0.036192	0.209064	0.00696695	0.134	0.0214345	0.0842227	0.00824647	0.0678324	0.0338135	0.666513	1.11116	0.6282675	1.371733	0.052483	0.237547	0.638624	1.56587	4.20969	19.0538	2.131076	2.183358	0.1999446	0.000103283	0.0417767	0.0269855	0.0371324	0.00194161	0.0430367	0.00292078	0.0179543	0.032368	0.00993132	0.0827685	0.015518	0.0413517	0.238868	0.00796017	0.153104	0.0244903	0.0962297	0.0094221	0.0775028	0.038634	0.685866	0.314134	0.8752258
432	-30.05681	-46.62895	16.57214	0.00141565	0.0418758	0.0388126	0.0434445	0.0698946	0.0143832	0.0188119	0.0231092	0.0305025	0.0400984	0.102265	0.0655059	0.00842556	0.0363644	0.079155	0.00807246	0.014727	0.0693084	0.0274066	0.0214478	0.0673371	2.84864	0.383786	0.7341191	1.265881	0.763492	0.876685	0.959772	1.04191	1.14066	1.30977	0.1951218	1.724353	2.474161	0.00172144	0.0509213	0.0471964	0.0528288	0.0849923	0.0174901	0.0228754	0.028101	0.0370913	0.0487599	0.124355	0.0796556	0.0102455	0.0442193	0.096253	0.00981617	0.0179081	0.0842794	0.0333266	0.0260806	0.0818824	0.63294	0.36706	0.822364
468	-28.59057	-45.73141	17.14084	0.000203516	0.241543	0.0695902	0.0448879	0.090983	0.0239865	0.0201737	0.00826853	0.108962	0.0629172	0.331518	0.114366	0.00992092	0.25746	0.0923788	0.147744	0.379469	0.252391	0.281156	0.00492693	0.06488	1.6882	0.770598	1.550059	0.449941	0.815042	0.90507	0.969361	1.03161	1.10489	1.22693	0.1478793	0.2902734	0.730257	7.80433e-05	0.0926258	0.0266862	0.0172134	0.0348898	0.00919825	0.00773611	0.00317078	0.0417844	0.0241272	0.127129	0.0438565	0.00380443	0.0987299	0.0354251	0.0566561	0.145517	0.0967858	0.107816	0.00188936	0.0248799	0.22497	0.77503	2.607726
504	-28.6746	-47.70149	19.02689	0.102996	0.0358798	0.0021634	7.09636e-05	0.0457384	0.0413424	0.0160611	0.0898948	0.0237381	0.0176201	0.123411	0.130639	0.0021579	0.202482	0.0104021	0.00981008	0.00449034	0.0650987	0.0525143	0.0116194	0.0179478	1.76159	0.746136	1.466873	0.5331272	0.677548	0.827083	0.94249	1.06102	1.20907	1.47591	0.2814725	0.3634447	0.7869832	0.102373	0.035663	0.00215033	7.05349e-05	0.0454621	0.0410927	0.015964	0.0893518	0.0235947	0.0175136	0.122666	0.129849	0.00214486	0.201259	0.0103393	0.00975082	0.00446322	0.0647055	0.0521971	0.0115492	0.0178394	0.266564	0.733436	1.006078
540	-27.58224	-48.51271	20.93047	0.0202631	0.0125746	0.00509718	0.00376525	0.0113877	0.00938622	0.00316457	0.0283136	0.00421844	0.00787492	0.0212201	0.0212406	0.00031251	0.016348	0.0144476	0.00589039	0.00148236	0.00044809	0.0126758	0.00805713	0.0142166	0.36098	1.21301	1.926739	0.07326089	0.289631	0.546438	0.828166	1.20749	1.83003	3.45267	0.8959883	0.03802325	0.09919716	0.0911171	0.0565443	0.0229205	0.0169312	0.0512073	0.0422071	0.0142302	0.127318	0.0189691	0.0354112	0.0954208	0.0955128	0.00140527	0.0735121	0.0649668	0.0264874	0.00666575	0.00201493	0.0569995	0.0362306	0.0639278	0.0366304	0.96337	0.2223848
576	-29.32333	-51.00261	21.67928	0.00901104	0.0324699	0.0691184	0.0160681	0.101621	0.0240221	0.100903	0.0479314	0.035028	0.0141549	0.0338263	0.0265472	0.0393739	0.105496	0.0811111	0.136763	0.0180851	0.0146091	0.0436492	0.0621825	0.0497973	0.232867	1.25571	1.898989	0.1010107	0.837657	0.917232	0.973406	1.02732	1.09024	1.19381	0.1280889	0.05319182	0.06181547	0.00848682	0.030581	0.0650975	0.0151333	0.0957095	0.0226246	0.0950325	0.0451429	0.0329902	0.0133315	0.0318585	0.0250028	0.0370833	0.0993585	0.0763925	0.128807	0.017033	0.0137592	0.0411099	0.058565	0.0469003	0.0505054	0.949495	1.061769
612	-27.62783	-47.55435	19.92653	0.082978	0.179517	0.062857	0.015441	0.0670173	0.0115617	0.0144196	0.0825552	0.0752719	0.034309	0.0121778	0.00438566	0.0455339	0.0223927	0.145	0.055745	0.0132693	0.0386986	0.0897103	0.0704348	0.0369318	0.457526	1.18082	1.497565	0.5024351	0.457262	0.68275	0.887754	1.12644	1.46467	2.18693	0.5658004	0.3355014	0.1291545	0.07152	0.154728	0.0541774	0.0133088	0.0577632	0.00996518	0.0124284	0.0711556	0.064878	0.0295715	0.0104963	0.00378007	0.0392463	0.0193006	0.124977	0.0480474	0.011437	0.0333549	0.0773227	0.0607089	0.0318321	0.251218	0.748782	1.160207
648	-34.78456	-51.69151	16.90695	0.032379	0.0785943	0.058042	0.00617907	0.0575502	0.03472	0.0258468	0.0436463	0.0123814	0.0289669	0.0782637	0.0349637	0.00698641	0.0508916	0.0574271	0.0355334	0.00173892	0.0366481	0.018897	0.00202404	0.10768	3.38729	0.204235	1.674692	0.3253079	0.385926	0.628546	0.865137	1.15589	1.59097	2.59117	0.6884404	0.1942493	5.528415	0.0400058	0.0971067	0.0717135	0.00763452	0.0711059	0.0428981	0.0319348	0.0539269	0.0152978	0.0357899	0.0966983	0.0431993	0.00863202	0.0628788	0.0709537	0.0439031	0.00214851	0.0452804	0.0233481	0.00250079	0.133043	0.162654	0.837346	0.8093597
684	-35.65534	-48.42652	12.77118	0.07589	0.0559847	0.0230038	0.0119779	0.15759	0.0475389	0.0132449	0.0115759	0.00888101	0.0113455	0.0222983	0.00255444	0.0376684	0.00244894	0.00957678	0.0403339	0.0140157	0.0103059	0.0964461	0.0418265	0.0884622	3.77163	0.0761224	1.476729	0.5232707	0.0228657	0.158405	0.562786	1.77688	6.31291	43.7336	2.731839	0.3543444	16.51565	0.0969259	0.071503	0.0293802	0.0152981	0.201272	0.0607161	0.0169163	0.0147846	0.0113427	0.0144903	0.0284791	0.0032625	0.0481097	0.00312775	0.0122314	0.051514	0.0179006	0.0131626	0.12318	0.0534203	0.112983	0.261635	0.738365	0.7829699
720	-37.00342	-49.10168	12.09827	0.038068	0.0532392	0.0204429	0.0223277	0.0718883	0.0120646	0.00764738	0.00480224	0.050457	0.100904	0.0867311	0.0117824	0.0423102	0.0841618	0.00504092	0.0508949	0.0125187	0.154227	0.128316	0.0131981	0.0189142	3.79869	0.0671035	1.171327	0.828673	0.0349707	0.194877	0.600369	1.66564	5.13144	28.5953	2.424626	0.7074651	18.86979	0.038455	0.0537804	0.0206507	0.0225547	0.0726191	0.0121872	0.00772512	0.00485106	0.0509699	0.10193	0.0876128	0.0119022	0.0427403	0.0850174	0.00509217	0.0514123	0.0126459	0.155794	0.12962	0.0133323	0.0191064	0.414336	0.585664	0.9899364
756	-45.42749	-55.58751	10.16001	0.0786952	0.0577169	0.00587664	0.0136641	0.0305408	0.00553549	0.00947378	0.0883864	0.025231	0.0432302	0.0588526	0.100962	0.00552934	0.0532877	0.0894347	0.145387	0.27156	0.02707	0.127802	0.00863566	0.0362559	3.8495	0.0501661	0.8563811	1.143619	0.0189939	0.144702	0.547121	1.82775	6.91074	52.6486	2.865984	1.335409	25.57835	0.0613308	0.0449815	0.00457993	0.0106491	0.0238018	0.00431406	0.00738336	0.0688836	0.0196637	0.0336913	0.0458666	0.0786841	0.00430927	0.0415296	0.0697006	0.113307	0.211639	0.0210969	0.0996017	0.00673017	0.0282559	0.571809	0.428191	1.283127
792	-32.86463	-47.64398	14.77935	0.216058	0.0221084	0.0880165	0.00742588	0.229107	0.0352579	0.0433914	0.0672803	0.0286737	0.0348941	0.0637277	0.0512099	0.200487	0.14482	0.0279577	0.119817	0.0550448	0.118035	0.112742	0.000630171	0.01381	2.81303	0.395657	0.4096999	1.5903	0.953207	0.976899	0.992735	1.00732	1.02365	1.04909	0.03465149	3.881622	2.369919	0.128568	0.0131559	0.0523753	0.00441887	0.136333	0.0209807	0.0258206	0.040036	0.0170627	0.0207642	0.037922	0.0304731	0.119303	0.0861768	0.0166366	0.0712988	0.0327551	0.070238	0.0670888	0.000374991	0.00821779	0.79515	0.20485	1.680495
828	-31.94181	-47.71369	15.77188	0.161923	0.0961364	0.114337	0.00432533	0.170438	0.0797415	0.00578704	0.0799465	0.129528	0.0344042	0.0299218	0.0997956	0.0703665	0.117871	0.0040687	0.0151586	0.144672	0.31131	0.238248	0.000719982	0.054892	0.174246	1.27525	0.2319089	1.768091	0.485209	0.702792	0.895803	1.11632	1.4229	2.06097	0.5229061	7.624078	0.04554554	0.0824628	0.0489595	0.0582284	0.00220276	0.086799	0.0406101	0.00294717	0.0407145	0.0659648	0.0175211	0.0152383	0.050823	0.0358357	0.0600283	0.00207207	0.00771982	0.0736772	0.158541	0.121333	0.000366666	0.0279549	0.884046	0.115954	1.96359
864	-34.81555	-51.82628	17.01073	0.0145188	0.0194252	0.00159995	0.00592137	0.0137113	0.00592814	0.0101361	0.165551	0.0180096	0.00564923	0.0410719	0.0679483	0.0399423	0.0657898	0.0621371	0.00660998	0.0579674	0.0450768	0.0192408	0.0590233	0.0367481	2.25253	0.582491	0.8022053	1.197795	0.375332	0.620071	0.861481	1.16079	1.61272	2.66431	0.7085677	1.493127	1.28902	0.0190533	0.0254922	0.00209966	0.00777076	0.0179936	0.00777965	0.0133018	0.217257	0.0236344	0.00741363	0.0538996	0.0891703	0.0524172	0.0863376	0.0815441	0.00867444	0.076072	0.0591554	0.0252502	0.0774577	0.0482255	0.598897	0.401103	0.7620067
900	-28.89191	-47.15907	18.26716	0.0436702	0.0605623	0.000812305	0.000807103	0.0328432	0.0081763	0.0253687	0.00869604	0.00401155	0.00324784	0.11305	0.0200168	0.00857283	0.0490656	0.0145392	0.000191776	0.0565748	0.0225528	0.0382833	0.00130849	0.0168632	1.57513	0.80829	1.204575	0.7954254	0.238083	0.496625	0.803834	1.24404	2.01359	4.20022	1.037703	0.6603372	0.6495736	0.082519	0.114438	0.00153493	0.0015251	0.0620604	0.0154499	0.0479365	0.016432	0.0075802	0.0061371	0.213618	0.0378236	0.0161992	0.092714	0.0274731	0.00036238	0.106903	0.0426156	0.0723398	0.00247252	0.0318645	0.397713	0.602287	0.5292141
936	-30.11688	-48.97895	18.86207	0.0448441	0.0162243	0.00395158	0.00470828	0.0193211	0.00847955	0.0332625	0.0158038	0.0254879	0.00831305	0.0148278	0.037631	0.0274784	0.0295284	0.00425861	0.00156599	0.031422	0.0255321	0.0282872	0.00725579	0.0208073	0.968486	1.0105	1.486484	0.5135159	0.121538	0.357777	0.725663	1.37805	2.79504	8.22787	1.523887	0.3454567	0.3194726	0.109646	0.0396691	0.00966179	0.0115119	0.0472408	0.0207329	0.0813282	0.0386409	0.062319	0.0203258	0.0362546	0.0920096	0.0671859	0.0721982	0.0104125	0.00382891	0.0768281	0.0624271	0.0691634	0.0177407	0.0508748	0.256758	0.743242	0.4089906
972	-27.31831	-44.34745	17.02914	0.0603519	0.381703	0.0572635	0.0474279	0.0454417	0.036042	0.019078	0.0624685	0.0612711	0.00722325	0.0498323	0.0403105	0.0601625	0.00358466	0.115377	0.0111729	0.0214001	0.00873893	0.0542295	0.00388033	0.0546022	1.65973	0.780091	0.5092681	1.490732	0.920405	0.960356	0.987459	1.0127	1.04128	1.08648	0.05997265	2.927204	0.709202	0.0502279	0.317672	0.0476576	0.0394719	0.0378189	0.029996	0.0158777	0.0519894	0.0509929	0.00601155	0.041473	0.0335484	0.0500703	0.00298334	0.0960224	0.00929869	0.0178103	0.00727298	0.0451325	0.00322941	0.0454427	0.745366	0.254634	1.201561
1008	-41.07733	-57.69687	16.61955	0.0942451	0.0300209	0.0345022	0.0174694	0.0235277	0.00019726	0.0133018	0.0345065	0.00149002	0.00140437	0.0454408	0.00699852	0.0647676	0.0180807	0.0188534	0.00385741	0.0487838	0.00917605	0.141382	0.0207792	0.00617879	1.06531	0.97823	0.3648469	1.635153	0.265807	0.524034	0.81742	1.22336	1.90827	3.76212	0.9580545	4.481751	0.3630062	0.148426	0.0472797	0.0543372	0.0275124	0.0370537	0.000310664	0.020949	0.0543441	0.00234663	0.00221173	0.0715644	0.0110219	0.102002	0.0284752	0.0296921	0.00607501	0.0768293	0.0144513	0.222661	0.032725	0.00973093	0.817577	0.182423	0.6349633
1044	-30.85511	-46.75366	15.89855	0.0586298	0.0707305	0.0279359	0.0389455	0.102635	0.000138233	0.0378818	0.0294733	0.0300356	0.0119869	0.103766	0.106544	0.252555	0.099162	0.0184653	0.00778169	0.0406309	0.0424694	0.383235	0.0445691	0.108697	0.494995	1.16834	0.2501098	1.74989	0.431919	0.664025	0.880086	1.13625	1.50597	2.31525	0.607029	6.996489	0.1412252	0.0362748	0.0437616	0.0172842	0.0240959	0.0635014	8.55259e-05	0.0234378	0.0182354	0.0185833	0.00741638	0.0642011	0.0659198	0.156258	0.0613524	0.0114246	0.0048146	0.0251387	0.0262762	0.237111	0.0275753	0.0672517	0.874945	0.125055	1.616268
1080	-32.33518	-49.12823	16.79305	0.0759328	0.0434542	0.00981588	0.0591064	0.010328	0.0813691	0.0806688	0.0526574	0.374642	0.104667	0.0145882	0.03464	0.561381	0.00689989	0.0443353	0.0281305	0.0641975	0.130987	0.0761146	0.105525	0.0407585	0.293887	1.23537	0.3596576	1.640342	0.967355	0.983943	0.994963	1.00506	1.01632	1.03375	0.0239986	4.560844	0.07929784	0.0379626	0.0217249	0.00490745	0.0295503	0.00516349	0.0406805	0.0403304	0.0263261	0.187303	0.052328	0.00729339	0.0173183	0.280663	0.0034496	0.0221654	0.0140638	0.0320955	0.0654872	0.0380535	0.0527572	0.0203772	0.820171	0.179829	2.0002
1116	-28.20113	-45.39315	17.19202	0.00338671	0.187095	0.00142219	0.00481945	0.0871061	0.0180748	0.00711299	0.0608446	0.223046	0.240654	0.0542826	0.008904	0.122429	0.0167109	0.0875002	0.0110195	0.0299169	0.120816	0.058401	0.137585	0.15793	2.18153	0.606158	1.192982	0.807018	0.569103	0.759637	0.917807	1.08955	1.31642	1.75715	0.407589	0.6764712	1.199648	0.00206626	0.114148	0.000867687	0.00294038	0.053144	0.0110275	0.00433968	0.0371217	0.136082	0.146825	0.0331182	0.00543239	0.074695	0.0101954	0.0533844	0.00672308	0.0182525	0.0737106	0.0356308	0.0839418	0.0963541	0.403509	0.596491	1.639058
1152	-27.64446	-45.30641	17.66195	0.109875	0.14959	0.000869859	0.0160316	0.0209112	0.0154777	0.0135809	0.00735723	0.0346219	0.0560166	0.110174	0.0180186	0.0521331	0.0923126	0.0293081	0.0390927	0.0941937	0.0983759	0.0412756	0.0986048	0.147842	0.363565	1.21215	0.3657406	1.634259	0.838703	0.917791	0.973591	1.02713	1.08957	1.19232	0.1271867	4.468356	0.09997841	0.088206	0.120089	0.00069831	0.0128699	0.0167872	0.0124253	0.0109025	0.00590628	0.0277939	0.0449693	0.0884465	0.0144651	0.0418517	0.0741072	0.0235281	0.031383	0.0756174	0.0789747	0.0331354	0.0791585	0.118685	0.81713	0.18287	1.245663
1188	-36.32064	-50.71205	14.3914	0.180722	0.0130651	0.00103245	0.0139988	0.0177782	0.00487913	0.00376031	0.0103576	0.0110749	0.0191179	0.0227594	0.0152901	0.00289976	0.0105108	0.00941695	0.0251782	0.00973117	0.0124316	0.0509732	0.00573067	0.0267285	3.19919	0.266935	0.878408	1.121592	0.0454849	0.221533	0.624869	1.60034	4.514	21.9853	2.234554	1.276846	3.994968	0.386623	0.0279506	0.00220875	0.0299481	0.0380335	0.0104381	0.00804453	0.0221582	0.0236929	0.0408994	0.0486898	0.0327106	0.00620353	0.0224861	0.0201459	0.0538644	0.0208181	0.0265954	0.109048	0.0122598	0.057181	0.560796	0.439204	0.4674367
1224	-40.49599	-57.32095	16.82496	0.120352	0.150159	0.000840495	0.00987723	0.0356913	0.177777	0.107379	0.0794735	0.126751	0.290671	0.20035	0.00870252	0.0379126	0.0287707	0.0399406	0.013419	0.146999	0.190875	0.261898	0.0468547	0.0124576	1.66063	0.779792	1.41727	0.5827304	0.233233	0.491666	0.801321	1.24794	2.0339	4.28755	1.052583	0.4111641	0.7098587	0.0576632	0.0719445	0.0004027	0.0047324	0.0171005	0.0851768	0.0514475	0.0380775	0.0607294	0.139267	0.0959921	0.00416957	0.0181648	0.0137847	0.0191364	0.00642933	0.0704306	0.0914525	0.125481	0.0224491	0.00596873	0.291365	0.708635	2.08715
1260	-29.66274	-47.89336	18.23062	0.153053	0.0579496	0.0216987	0.0116568	0.0572256	0.00279612	0.0119211	0.162325	0.0229847	0.0436248	0.0558519	0.0628491	0.0499655	0.251686	0.120387	0.00615576	0.0643794	0.239166	0.000932849	0.224993	0.0248973	0.796922	1.06769	1.045227	0.954773	0.56584	0.757509	0.917004	1.09051	1.32012	1.76728	0.4117476	0.9134599	0.2487987	0.0929568	0.0351956	0.0131787	0.00707976	0.0347559	0.00169822	0.00724027	0.0985882	0.0139598	0.0264955	0.0339216	0.0381713	0.0303465	0.152861	0.0731167	0.0037387	0.0391008	0.145257	0.000566565	0.136649	0.0151214	0.477386	0.522614	1.646499
1296	-39.63185	-53.43629	13.80444	0.133166	0.0569577	0.0344559	0.0390913	0.221719	0.0379598	0.0252805	0.0195128	0.00992813	0.00496368	0.00493311	0.429152	0.286042	0.0897721	0.0639619	0.0490973	0.00698381	0.0911811	0.0183678	0.0888632	0.13373	3.06836	0.310548	0.615085	1.384915	0.233304	0.491738	0.801358	1.24788	2.0336	4.28625	1.052363	2.251583	3.293486	0.0721722	0.0308694	0.0186741	0.0211863	0.120165	0.0205731	0.0137013	0.0105754	0.00538076	0.00269017	0.0026736	0.232588	0.155026	0.0486538	0.0346654	0.0266093	0.00378502	0.0494175	0.00995482	0.0481612	0.0724777	0.692457	0.307543	1.845118
