Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-27.08977	-47.22751	20.13774	0.0329357	0.00604263	0.0101045	0.0103634	0.0687081	0.00842502	0.00324339	0.0184748	0.00614015	0.00806568	0.0267066	0.0391255	0.0422221	0.0155913	0.0293102	0.0136004	0.022193	0.0522283	0.0241564	0.00268538	0.00854145	1.04393	0.985356	1.632655	0.3673453	0.514536	0.723197	0.903838	1.10639	1.38275	1.9435	0.4804724	0.2249988	0.3531487	0.0733757	0.013462	0.0225113	0.0230881	0.153071	0.0187696	0.00722577	0.041159	0.0136793	0.0179691	0.0594982	0.0871657	0.0940643	0.0347349	0.0652986	0.0302996	0.0494426	0.116357	0.0538168	0.0059826	0.019029	0.183673	0.816327	0.448864
36	-44.16834	-57.98381	13.81547	0.0173684	0.00973404	0.0128044	0.0336381	0.0124913	0.00878971	0.00120578	0.0181529	0.00958378	0.0316613	0.0326085	0.0602637	0.0366522	0.0455945	0.0157235	0.0314439	0.00951897	0.0270947	0.0574916	0.0405801	0.0177611	3.16534	0.278219	0.9826788	1.017321	0.0137853	0.123762	0.52108	1.91909	8.08	72.5411	3.097738	1.035253	3.792383	0.0327605	0.0183605	0.0241518	0.0634487	0.0235612	0.0165793	0.00227437	0.0342403	0.0180771	0.0597199	0.0615066	0.11367	0.0691339	0.086001	0.0296579	0.05931	0.0179548	0.0511064	0.108441	0.0765427	0.0335013	0.508661	0.491339	0.5301624
72	-35.97069	-50.53114	14.56045	0.0796728	0.0614436	0.126828	0.0819644	0.103686	0.0966379	0.00234573	0.03977	0.0507901	0.00551222	0.0465828	0.0176417	0.0111893	0.0918053	0.206394	0.00456353	0.0602286	0.119165	0.0250894	0.0102528	0.00191945	3.60612	0.131294	1.031172	0.9688281	0.434252	0.665773	0.880807	1.13532	1.50201	2.30281	0.6031331	0.9395408	9.155343	0.0640723	0.0494125	0.101994	0.0659152	0.0833833	0.0777155	0.00188642	0.0319828	0.040845	0.00443289	0.0374616	0.0141874	0.00899835	0.0738291	0.16598	0.00366996	0.0484354	0.0958319	0.0201767	0.00824527	0.00154361	0.484414	0.515586	1.243483
108	-31.69376	-50.24633	18.55257	0.015606	0.00911729	0.00293625	0.0151202	0.0396997	0.00179962	0.0182242	0.0274522	0.0238181	0.000640861	0.0259352	0.0181033	0.0108075	0.0180786	0.0680907	0.000714221	0.00771047	0.0169286	0.00329946	0.00124618	0.00906456	0.875819	1.04139	1.389991	0.6100092	0.0966456	0.319942	0.700795	1.42695	3.12557	10.3471	1.689599	0.4388584	0.2803355	0.0466696	0.0272652	0.00878082	0.0452168	0.118722	0.00538174	0.0544993	0.0820956	0.0712277	0.00191649	0.077559	0.0541378	0.0323198	0.0540638	0.203625	0.00213587	0.0230581	0.0506249	0.00986701	0.00372668	0.0271075	0.305005	0.694995	0.3343931
144	-32.3784	-46.77478	14.39639	0.354785	0.186309	0.119559	0.0291978	0.190755	0.047042	0.149944	0.117779	0.0265755	0.00560309	0.0738091	0.250323	0.00453716	0.721178	0.0424397	0.0029714	0.250927	0.14827	0.0488078	0.00147421	0.458539	0.912317	1.02923	0.5488358	1.451164	0.532546	0.735434	0.908582	1.10062	1.35974	1.87777	0.4555952	2.644077	0.2954699	0.109812	0.057666	0.0370058	0.00903725	0.0590421	0.0145604	0.0464103	0.0364547	0.00822561	0.00173426	0.0228453	0.0774796	0.00140433	0.223218	0.0131359	0.000919704	0.0776666	0.0458922	0.0151069	0.000456294	0.141926	0.725582	0.274418	3.230826
180	-33.95889	-49.89575	15.93686	0.22745	0.0788264	0.0368593	0.0136676	0.0491599	0.0243116	0.0448212	0.0407285	0.00226106	0.108581	0.0919241	0.153631	0.0518964	0.112927	0.100261	0.0256039	0.1705	0.00915585	0.316103	0.0424426	0.0569773	1.61804	0.793985	0.4894679	1.510532	0.581854	0.76789	0.920906	1.08589	1.30227	1.71864	0.3915675	3.08607	0.6792926	0.129374	0.0448364	0.0209656	0.00777412	0.0279621	0.0138284	0.0254943	0.0231664	0.00128609	0.061761	0.0522864	0.0873852	0.0295186	0.0642326	0.0570282	0.0145635	0.0969805	0.00520784	0.179799	0.0241413	0.0324087	0.755266	0.244734	1.758089
216	-37.39463	-51.37681	13.98218	0.234382	0.182427	0.0251664	0.169043	0.00630313	0.0389263	0.0106271	0.0421813	0.0142319	0.0083132	0.0593708	0.028982	0.00837914	0.0440072	0.175299	0.0326227	0.0795861	0.0723621	0.230502	0.0147788	0.252426	2.69262	0.435792	0.3906865	1.609313	0.308585	0.563595	0.836193	1.1959	1.77432	3.24059	0.8501531	4.119194	2.059564	0.135488	0.105454	0.0145478	0.0977174	0.0036436	0.0225018	0.0061431	0.0243834	0.00822692	0.00480555	0.03432	0.0167534	0.00484367	0.0254389	0.101334	0.0188579	0.0460057	0.0418298	0.133245	0.00854306	0.145918	0.804657	0.195343	1.729917
252	-32.33829	-47.56847	15.23018	0.014805	0.134847	0.0610475	0.0513065	0.0170424	0.0300141	0.0413665	0.0297531	0.0135489	0.0359466	0.187605	0.0475443	0.0747098	0.0320689	0.0973648	0.0263184	0.0306241	0.0163232	0.0367996	0.0700244	0.042117	2.39744	0.534185	0.3099423	1.690058	0.579977	0.766681	0.920454	1.08642	1.30432	1.72421	0.393904	5.452815	1.496012	0.0135679	0.12358	0.0559465	0.0470194	0.0156184	0.0275062	0.03791	0.027267	0.0124168	0.0329429	0.171929	0.0435715	0.0684672	0.0293893	0.0892291	0.0241193	0.0280652	0.0149593	0.0337247	0.0641732	0.0385977	0.845029	0.154971	1.091178
288	-29.5133	-48.21447	18.70116	0.112169	0.0599136	0.0390706	0.0711965	0.0993705	0.00267241	0.00255226	0.0080262	0.0466966	0.125268	0.0579361	0.0445545	0.0583952	0.0657043	0.143308	0.00508976	0.0901358	0.0859392	0.0405332	0.0132526	0.00515073	0.487407	1.17086	0.8092219	1.190778	0.584432	0.769547	0.921526	1.08516	1.29947	1.71106	0.3883716	1.47151	0.1387598	0.0953063	0.0509064	0.0331969	0.0604931	0.0844316	0.00227066	0.00216856	0.00681957	0.0396764	0.106436	0.0492262	0.0378564	0.0496163	0.0558266	0.121764	0.00432458	0.0765851	0.0730195	0.0344396	0.0112602	0.00437639	0.595389	0.404611	1.176935
324	-30.92467	-48.14916	17.22449	0.0133299	0.245826	0.124817	0.00911032	0.086963	0.0686693	0.00416982	0.123924	0.0300358	0.0349596	0.298257	0.0604534	0.040915	0.0419301	0.159988	0.0195427	0.47159	0.0591957	0.0479876	0.0298325	0.00686052	1.28899	0.903669	0.9369423	1.063058	0.712448	0.847593	0.94972	1.05294	1.17981	1.40361	0.2451556	1.134603	0.4754667	0.00673785	0.124258	0.0630914	0.00460499	0.0439572	0.0347103	0.00210772	0.0626398	0.0151822	0.017671	0.15076	0.0305573	0.0206813	0.0211944	0.080869	0.00987826	0.238375	0.0299217	0.0242563	0.0150794	0.00346779	0.531529	0.468471	1.978357
